x_world,z_world
-0.876055,-0.900100
-0.876456,-0.899494
-0.877395,-0.898098
-0.879507,-0.894384
-0.880308,-0.892546
-0.880970,-0.891207
-0.882481,-0.888134
-0.884578,-0.882659
-0.885636,-0.879220
-0.886689,-0.876157
-0.888619,-0.870659
-0.890105,-0.864924
-0.890912,-0.860354
-0.891516,-0.856993
-0.892509,-0.852111
-0.893368,-0.846202
-0.893710,-0.841058
-0.893872,-0.837218
-0.894098,-0.832960
-0.894274,-0.826938
-0.894003,-0.820904
-0.893561,-0.816857
-0.893198,-0.813235
-0.892743,-0.808003
-0.891881,-0.802027
-0.890616,-0.796322
-0.889743,-0.793276
-0.888368,-0.787475
-0.887015,-0.781617
-0.885667,-0.775751
-0.884316,-0.769881
-0.882957,-0.764008
-0.881600,-0.758134
-0.880243,-0.752260
-0.878886,-0.746385
-0.877643,-0.740477
-0.876853,-0.734468
-0.876518,-0.728443
-0.876645,-0.724366
-0.876675,-0.722681
-0.876307,-0.717915
-0.876140,-0.711954
-0.876463,-0.705906
-0.877164,-0.700519
-0.877745,-0.697167
-0.878261,-0.693440
-0.879099,-0.687484
-0.880398,-0.681578
-0.881827,-0.676837
-0.882816,-0.673912
-0.883984,-0.669524
-0.885820,-0.663786
-0.888098,-0.658183
-0.889747,-0.654786
-0.891027,-0.652069
-0.892365,-0.648430
-0.893424,-0.643285
-0.894059,-0.637255
-0.894258,-0.633116
-0.894550,-0.630968
-0.895399,-0.627126
-0.896220,-0.621295
-0.896582,-0.615256
-0.896683,-0.609223
-0.896680,-0.603197
-0.896616,-0.597175
-0.896510,-0.591154
-0.896388,-0.585131
-0.896238,-0.579107
-0.896068,-0.573082
-0.895876,-0.567057
-0.895672,-0.561032
-0.895459,-0.555007
-0.895237,-0.548982
-0.895009,-0.542958
-0.894776,-0.536933
-0.894540,-0.530910
-0.894301,-0.524886
-0.894061,-0.518862
-0.893820,-0.512838
-0.893578,-0.506814
-0.893336,-0.500790
-0.893094,-0.494766
-0.892853,-0.488742
-0.892611,-0.482718
-0.892369,-0.476694
-0.892128,-0.470670
-0.891886,-0.464645
-0.891645,-0.458621
-0.891403,-0.452597
-0.891162,-0.446572
-0.890921,-0.440548
-0.890680,-0.434525
-0.890438,-0.428501
-0.890197,-0.422477
-0.889956,-0.416453
-0.889714,-0.410429
-0.889473,-0.404406
-0.889231,-0.398382
-0.888990,-0.392359
-0.888748,-0.386335
-0.888506,-0.380311
-0.888265,-0.374287
-0.888023,-0.368263
-0.887781,-0.362239
-0.887539,-0.356215
-0.887298,-0.350191
-0.887056,-0.344166
-0.886815,-0.338142
-0.886573,-0.332118
-0.886332,-0.326093
-0.886091,-0.320069
-0.885849,-0.314045
-0.885608,-0.308021
-0.885367,-0.301997
-0.885126,-0.295974
-0.884884,-0.289950
-0.884643,-0.283926
-0.884285,-0.277902
-0.883458,-0.271917
-0.882189,-0.265986
-0.881417,-0.263571
-0.880849,-0.260968
-0.879774,-0.255063
-0.878243,-0.249212
-0.876326,-0.243552
-0.874882,-0.240218
-0.873765,-0.237434
-0.871771,-0.231832
-0.869310,-0.226319
-0.866785,-0.221659
-0.865356,-0.219301
-0.863243,-0.215103
-0.860276,-0.209864
-0.856900,-0.204846
-0.854503,-0.201800
-0.852879,-0.199731
-0.849518,-0.194835
-0.845830,-0.190087
-0.842140,-0.185336
-0.838448,-0.180580
-0.834756,-0.175822
-0.831059,-0.171062
-0.827359,-0.166300
-0.823661,-0.161538
-0.819964,-0.156778
-0.816242,-0.152036
-0.812426,-0.147365
-0.808530,-0.143043
-0.805685,-0.140495
-0.806108,-0.140705
-0.808556,-0.142120
-0.810414,-0.142971
-0.811661,-0.143437
-0.812450,-0.143687
-0.812942,-0.143826
-0.813249,-0.143906
-0.813441,-0.143954
-0.811594,-0.143574
-0.809075,-0.143306
-0.807449,-0.143235
-0.805961,-0.143156
-0.802798,-0.142965
-0.797475,-0.143106
-0.792719,-0.143611
-0.788146,-0.144045
-0.782448,-0.144509
-0.776466,-0.145131
-0.770483,-0.145782
-0.764495,-0.146428
-0.758505,-0.147072
-0.752519,-0.147838
-0.746582,-0.149064
-0.740570,-0.150798
-0.736293,-0.152443
-0.734395,-0.153269
-0.729995,-0.154479
-0.724271,-0.156379
-0.718678,-0.158675
-0.713779,-0.161145
-0.711366,-0.162533
-0.707498,-0.164408
-0.702168,-0.167202
-0.697117,-0.170367
-0.694059,-0.172632
-0.691909,-0.174208
-0.686923,-0.177413
-0.682124,-0.181063
-0.677753,-0.184979
-0.676030,-0.186759
-0.672934,-0.189520
-0.668470,-0.193518
-0.663999,-0.197529
-0.659525,-0.201550
-0.655049,-0.205580
-0.650573,-0.209624
-0.646097,-0.213666
-0.641621,-0.217708
-0.637146,-0.221749
-0.632671,-0.225789
-0.628196,-0.229829
-0.623721,-0.233870
-0.619246,-0.237910
-0.614771,-0.241950
-0.610296,-0.245990
-0.605821,-0.250029
-0.601346,-0.254069
-0.596870,-0.258109
-0.592395,-0.262149
-0.587920,-0.266189
-0.583445,-0.270229
-0.578970,-0.274269
-0.574495,-0.278309
-0.570020,-0.282349
-0.565545,-0.286389
-0.561070,-0.290429
-0.556595,-0.294469
-0.552120,-0.298509
-0.547635,-0.302538
-0.543072,-0.306485
-0.538305,-0.310208
-0.533392,-0.313496
-0.529737,-0.315594
-0.528087,-0.316640
-0.525277,-0.318498
-0.520785,-0.321005
-0.516269,-0.322914
-0.513528,-0.323990
-0.510832,-0.325183
-0.505800,-0.327341
-0.500138,-0.329229
-0.494367,-0.330941
-0.488602,-0.332673
-0.482841,-0.334421
-0.477082,-0.336180
-0.471323,-0.337947
-0.465563,-0.339720
-0.459803,-0.341494
-0.454042,-0.343270
-0.448280,-0.345046
-0.442519,-0.346822
-0.436757,-0.348598
-0.430995,-0.350373
-0.425233,-0.352148
-0.419471,-0.353923
-0.413710,-0.355698
-0.407948,-0.357473
-0.402187,-0.359248
-0.396425,-0.361022
-0.390663,-0.362797
-0.384902,-0.364572
-0.379141,-0.366347
-0.373379,-0.368122
-0.367618,-0.369897
-0.361856,-0.371672
-0.356095,-0.373447
-0.350333,-0.375222
-0.344571,-0.376997
-0.338810,-0.378772
-0.333048,-0.380547
-0.327286,-0.382322
-0.321524,-0.384097
-0.315762,-0.385872
-0.310000,-0.387647
-0.304238,-0.389422
-0.298477,-0.391196
-0.292715,-0.392971
-0.286953,-0.394746
-0.281192,-0.396520
-0.275430,-0.398295
-0.269669,-0.400069
-0.263907,-0.401844
-0.258146,-0.403619
-0.252385,-0.405394
-0.246624,-0.407169
-0.240862,-0.408944
-0.235100,-0.410719
-0.229339,-0.412494
-0.223577,-0.414269
-0.217816,-0.416044
-0.212054,-0.417819
-0.206292,-0.419594
-0.200530,-0.421369
-0.194768,-0.423144
